Id,Quality
2642,Good
2647,Good
2652,Good
2655,Good
2660,Good
2662,Good
2667,Good
2669,Good
2670,Good
2671,Good
2679,Good
2682,Good
2684,Good
2687,Good
2688,Good
2695,Good
2704,Good
2705,Good
2710,Good
2716,Good
2717,Good
2720,Good
2723,Good
2726,Good
2728,Good
2734,Good
2735,Good
2741,Good
2742,Good
2744,Good
2745,Good
2746,Good
2750,Good
2753,Good
2755,Good
2757,Good
2758,Good
2760,Good
2762,Good
2763,Good
2773,Good
2775,Good
2779,Good
2781,Good
2783,Good
2785,Good
2803,Good
2804,Good
2806,Good
2808,Good
2810,Good
2813,Good
2816,Good
2823,Good
2824,Good
2830,Good
2844,Good
2846,Good
2848,Good
2849,Good
2851,Good
2856,Good
2867,Good
2869,Good
2870,Good
2871,Good
2874,Good
2876,Good
2877,Good
2878,Good
2879,Good
2897,Good
2903,Good
2906,Good
2907,Good
2908,Good
2911,Good
2921,Good
2928,Good
2930,Good
2938,Good
2939,Good
2941,Good
2942,Good
2947,Good
2956,Good
2957,Good
2969,Good
2970,Good
2971,Good
2973,Good
2975,Good
2979,Good
2980,Good
2983,Good
2987,Good
2989,Good
3000,Good
3001,Good
3004,Good
3005,Good
3006,Good
3024,Good
3025,Good
3026,Good
3029,Good
3035,Good
3038,Good
3041,Good
3043,Good
3046,Good
3049,Good
3050,Good
3051,Good
3065,Good
3070,Good
3079,Good
3080,Good
3082,Good
3083,Good
3089,Good
3105,Good
3106,Good
3110,Good
3111,Good
3113,Good
3114,Good
3117,Good
3127,Good
3128,Good
3132,Good
3137,Good
3139,Good
3142,Good
3149,Good
3156,Good
3171,Good
3176,Good
3178,Good
3179,Good
3181,Good
3188,Good
3190,Good
3197,Good
3203,Good
3213,Good
3214,Good
3218,Good
3219,Good
3221,Good
3222,Good
3225,Good
3226,Good
3228,Good
3232,Good
3236,Good
3237,Good
3256,Good
3266,Good
3275,Good
3285,Good
3286,Good
3295,Good
3299,Good
3303,Good
3319,Good
3333,Good
3336,Good
3338,Good
3340,Good
3342,Good
3350,Good
3357,Good
3360,Good
3368,Good
3371,Good
3377,Good
3379,Good
3380,Good
3384,Good
3391,Good
3393,Good
3394,Good
3399,Good
3409,Good
3410,Good
3416,Good
3418,Good
3419,Good
3421,Good
3424,Good
3434,Good
3439,Good
3443,Good
3444,Good
3446,Good
3456,Good
3459,Good
3463,Good
3468,Good
3479,Good
3483,Good
3487,Good
3502,Good
3504,Good
3508,Good
3514,Good
3518,Good
3521,Good
3529,Good
3532,Good
3534,Good
3535,Good
3544,Good
3546,Good
3547,Good
3556,Good
3562,Good
3565,Good
3566,Good
3568,Good
3571,Good
3572,Good
3573,Good
3574,Good
3575,Good
3578,Good
3581,Good
3582,Good
3591,Good
3606,Good
3609,Good
3612,Good
3621,Good
3642,Good
3645,Good
3647,Good
3652,Good
3654,Good
3661,Good
3664,Good
3672,Good
3685,Good
3686,Good
3689,Good
3691,Good
3693,Good
3694,Good
3697,Good
3699,Good
3705,Good
3711,Good
3713,Good
3715,Good
3717,Good
3725,Good
3726,Good
3729,Good
3732,Good
3739,Good
3742,Good
3744,Good
3746,Good
3750,Good
3763,Good
3768,Good
3769,Good
3773,Good
3777,Good
3778,Good
3780,Good
3782,Good
3784,Good
3785,Good
3789,Good
3809,Good
3811,Good
3812,Good
3813,Good
3815,Good
3816,Good
3836,Good
3843,Good
3851,Good
3852,Good
3855,Good
3857,Good
3860,Good
3866,Good
3878,Good
3881,Good
3882,Good
3884,Good
3885,Good
3888,Good
3889,Good
3891,Good
3894,Good
3895,Good
3910,Good
3920,Good
3921,Good
3931,Good
3935,Good
3939,Good
3941,Good
3948,Good
3949,Good
3950,Good
3951,Good
3955,Good
3956,Good
3958,Good
3963,Good
3971,Good
3972,Good
3978,Good
3983,Good
3987,Good
3988,Good
3993,Good
4002,Good
4004,Good
4011,Good
4014,Good
4025,Good
4032,Good
4033,Good
4034,Good
4038,Good
4041,Good
4045,Good
4047,Good
4054,Good
4057,Good
4061,Good
4062,Good
4064,Good
4065,Good
4069,Good
4070,Good
4077,Good
4079,Good
4084,Good
4088,Good
4092,Good
4093,Good
4099,Good
4102,Good
4108,Good
4109,Good
4113,Good
4118,Good
4123,Good
4132,Good
4141,Good
4152,Good
4153,Good
4156,Good
4160,Good
4167,Good
4168,Good
4170,Good
4173,Good
4180,Good
4183,Good
4185,Good
4189,Good
4193,Good
4197,Good
4199,Good
4202,Good
4203,Good
4219,Good
4232,Good
4234,Good
4236,Good
4237,Good
4248,Good
4253,Good
4256,Good
4258,Good
4275,Good
4280,Good
4281,Good
4283,Good
4285,Good
4287,Good
4289,Good
4297,Good
4300,Good
4309,Good
4310,Good
4313,Good
4322,Good
4324,Good
4327,Good
4329,Good
4333,Good
4338,Good
4340,Good
4350,Good
4358,Good
4361,Good
4364,Good
4365,Good
4366,Good
4375,Good
4382,Good
4384,Good
4386,Good
4389,Good
4390,Good
4399,Good
4402,Good
4407,Good
4408,Good
4409,Good
4412,Good
4414,Good
4415,Good
4417,Good
4418,Good
4419,Good
4420,Good
4424,Good
4429,Good
4436,Good
4440,Good
4441,Good
4442,Good
4445,Good
4447,Good
4448,Good
4452,Good
4463,Good
4466,Good
4468,Good
4480,Good
4481,Good
4483,Good
4492,Good
4493,Good
4496,Good
4499,Good
4502,Good
4503,Good
4505,Good
4508,Good
4513,Good
4515,Good
4516,Good
4517,Good
4519,Good
4522,Good
4529,Good
4538,Good
4541,Good
4550,Good
4557,Good
4559,Good
4565,Good
4578,Good
4582,Good
4586,Good
4591,Good
4592,Good
4598,Good
4602,Good
4603,Good
4611,Good
4614,Good
4621,Good
4624,Good
4625,Good
4626,Good
4628,Good
4642,Good
4646,Good
4651,Good
