Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
2607,8.3,0.19,0.49,1.2,51,11,137,0.9918,3.06,0.46,11,1
1180,6.3,0.23,0.5,10.4,43,61,132,0.99542,2.86,0.46,9.1,1
804,6.8,0.28,0.36,8,45,28,123,0.9928,3.02,0.37,11.4,1
1284,6.8,0.31,0.19,3.5,86,30,130,993,2.83,0.44,9.6,0
2694,7.2,0.32,0.33,1.4,29,29,109,0.9902,3.15,0.51,12.8,1
1873,7.4,0.38,0.27,7.5,41,24,160,0.99535,3.17,0.43,10,0
2837,6.7,0.43,0.23,5,157,49,145,0.99471,3.17,0.49,9.4,0
4225,8.6,0.27,0.46,6.1,32,13,41,993,2.89,0.34,10.9,0
2344,7.6,0.48,0.33,7,24,14,130,0.9918,3.25,0.45,12.5,1
1111,6.6,0.58,0.3,5.1,57,30,123,0.9949,3.24,0.38,9,0
3311,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,1
2363,6.1,0.28,0.25,17.75,44,48,161,0.9993,3.34,0.48,9.5,0
4600,6.9,0.2,0.4,7.7,32,51,176,0.9939,3.22,0.27,11.4,0
1070,7.7,0.28,0.35,15.3,56,31,117,0.9998,3.27,0.5,9.6,0
527,5.7,0.14,0.3,5.4,45,26,105,0.99469,3.32,0.45,9.3,0
479,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,1
2896,6.6,0.26,0.36,1.2,35,43,126,0.99094,3.01,0.63,11.4,1
3281,5.8,0.42,0.3,2.2,35,26,129,989,3.32,0.47,12.9,1
1989,6.8,0.3,0.29,6.2,25,29,95,0.99071,3.03,0.32,12.9,1
653,7.5,305,0.38,1.4,47,30,95,0.99158,3.22,0.52,11.5,1
3737,6.7,0.46,0.21,4,34,12,88,0.99016,3.26,0.54,13,1
4431,7.2,0.32,0.24,5.6,33,23,120,0.99334,2.92,0.66,10.3,1
87,5.5,0.16,0.31,1.2,26,31,68,0.9898,3.33,0.44,11.65,1
2385,6.3,0.27,0.37,7.9,47,58,215,0.99542,3.19,0.48,9.5,1
3537,7.5,0.18,0.31,6.5,29,53,160,0.99276,3.03,,10.9,1
2327,7.2,0.2,0.38,1,37,21,74,0.9918,3.21,0.37,11,0
1095,7.8,0.26,0.31,3.6,25,22,100,0.99066,2.99,0.47,12.1,1
2102,6.9,0.19,0.33,1.6,43,63,149,0.9925,3.44,0.52,10.8,0
1297,6.4,0.27,0.29,3.9,34,62,140,0.99237,3.1,0.59,11.1,1
4292,6.1,0.18,0.38,2.3,33,28,111,0.98962,3.16,0.49,12.4,1
3101,7.4,0.26,0.43,6,22,22,125,0.9928,3.13,0.55,11.5,1
4455,8.2,0.35,0.4,6.3,39,35,162,0.9936,3.15,0.34,11.9,1
61,5.8,0.33,0.23,5,53,29,106,0.99458,3.13,0.52,9,0
1777,6.7,0.41,0.27,2.6,33,25,85,0.99086,3.05,0.34,11.7,1
2012,6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,1
540,6.9,0.25,0.26,5.2,24,36,135,0.9948,3.16,0.72,10.7,1
1140,6.6,0.13,0.3,4.9,58,47,131,0.9946,3.51,0.45,10.3,1
662,7.2,0.37,0.4,11.6,32,34,214,0.9963,3.1,0.51,9.8,1
4568,6.8,0.43,0.26,5.2,43,40,176,0.99116,3.17,0.41,12.3,1
958,7.7,0.31,0.26,7.8,31,23,90,0.9944,3.13,0.5,10.4,0
2313,6.6,0.23,0.32,0.9,41,25,79,0.9926,3.39,0.54,10.2,1
3928,6.4,0.2,0.28,2.5,32,24,84,0.99168,3.31,0.55,11.5,0
2286,6.9,0.24,0.36,20.8,31,40,139,0.9975,3.2,0.33,11,1
1880,7.1,0.24,0.34,1.2,45,6,132,0.99132,3.16,0.46,11.2,0
1306,6.8,0.27,0.28,7.8,38,26,89,0.9915,3.24,0.34,12.5,1
4524,5.1,0.26,0.34,6.4,34,26,99,0.99449,3.23,0.41,9.2,1
235,8.2,0.37,0.36,1,34,17,93,0.9906,3.04,0.32,11.7,1
3472,7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,1
4233,8.1,0.24,0.33,10.2,48,46,,0.9972,3.16,0.48,10.3,1
4022,8.3,0.15,0.39,1.3,55,32,146,993,3.08,0.39,10.5,1
1289,6.1,0.22,0.4,1.85,31,25,111,0.98966,3.03,0.3,11.8,1
1076,9.8,0.16,0.46,1.8,46,23,130,0.99587,3.04,0.67,9.6,0
1359,6.2,0.28,0.33,1.7,29,24,111,0.99,3.24,0.5,12.1,1
1448,7,0.34,0.1,3.5,44,17,63,0.9937,3.01,0.39,9.2,0
2712,4.7,455,0.18,1.9,36,33,106,0.98746,3.21,0.83,14,1
2801,6.6,0.21,0.29,1.8,26,35,128,0.99183,3.37,0.48,11.2,1
477,7.6,0.39,0.32,3.6,35,22,93,0.99144,3.08,0.6,12.5,1
2196,6.4,0.42,0.19,9.3,43,28,145,0.99433,3.23,0.53,10.98,0
210,6.2,0.29,0.26,13.1,46,55,204,0.99745,3.16,0.41,9.6,1
2899,6.8,0.22,0.35,17.5,39,38,153,0.9994,3.24,0.42,9,1
4205,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,1
4214,6.1,0.4,0.18,9,51,28.5,259,0.9964,3.19,0.5,8.8,0
4009,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,0
2096,7.5,0.42,0.14,10.7,46,18,95,0.9959,3.22,0.33,10.7,0
1625,8.5,0.15,0.49,1.5,31,17,122,0.9932,3.03,0.4,10.3,1
1714,7.1,0.2,0.31,6.85,53,32,211,0.99587,3.31,0.59,10.4,1
4139,7.4,0.24,0.26,1.6,58,53,150,0.9936,3.18,0.5,9.9,1
3019,5.5,0.31,0.29,3,27,16,102,0.99067,3.23,0.56,11.2,1
1834,7.1,0.36,0.28,2.4,36,35,115,0.98936,3.19,0.44,13.5,1
2112,8.1,0.17,0.44,14.1,53,43,145,1.0006,3.28,0.75,8.8,1
3284,6,0.19,0.71,1.5,152,9,55,0.9927,3.12,0.46,9.8,1
3230,8.2,0.23,0.37,1.3,42,39,117,0.9928,2.99,0.36,10,0
2070,6.8,0.12,0.3,12.9,49,32,88,0.99654,3.2,0.35,9.9,1
1807,7.1,0.27,0.28,1.25,23,3,89,0.98993,2.95,0.3,11.4,0
1766,7.6,,0.46,14.7,47,33,151,0.99709,3.03,0.53,10.3,0
2948,8.1,0.2,0.36,9.7,44,63,162,997,3.1,0.46,10,1
3032,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,1
259,6.4,0.18,0.32,9.6,52,24,90,0.9963,3.35,0.49,9.4,1
2019,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,1
2218,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,1
690,8.8,0.33,0.44,6.35,24,9,87,0.9917,2.96,0.4,12.6,1
1328,6.1,255,0.44,12.3,45,53,197,0.9967,3.24,0.54,9.5,1
878,6.4,0.24,0.25,20.2,83,35,157,0.99976,3.17,0.5,9.1,0
513,6.3,0.24,0.29,13.7,35,53,134,0.99567,3.17,0.38,10.6,1
3730,5,0.33,0.16,1.5,49,10,97,0.9917,3.48,0.44,10.7,1
4589,6.7,0.26,0.26,4.1,73,36,202,0.9956,3.3,0.67,9.5,0
271,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,0
2825,6,615,0.04,0.8,32,8,50,0.99036,3.14,0.4,11,0
3343,7.1,0.43,0.25,2.8,36,43,132,0.98975,3.21,0.47,13.4,1
2349,5.8,385,0.25,3.7,31,38,122,0.99128,3.2,0.63,11.2,1
2199,7.4,0.2,0.37,16.95,48,43,190,0.9995,3.03,0.42,9.2,1
3307,6.6,0.2,0.27,10.9,38,29,130,0.99496,3.11,0.44,10.5,1
3875,6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,0
3614,8.2,0.26,0.33,2.6,53,11,71,0.99402,2.89,0.49,9.5,0
2190,7.6,0.35,0.47,13.3,37,42,116,0.99822,3.04,0.5,9.2,0
3480,6.9,0.3,0.3,10.55,37,4,28,0.99184,3.07,0.32,12.7,1
843,8,0.28,0.32,7.6,45,61,204,0.99543,3.1,0.55,10.1,1
1629,7.6,0.2,0.3,14.2,56,53,212.5,999,3.14,0.46,8.9,1
1779,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
402,7.8,0.32,0.33,2.4,37,18,101,0.9912,3.21,0.65,11.7,1
9,6.5,0.22,0.5,16.4,48,36,182,0.99904,3.02,0.49,8.8,1
1701,6.4,0.16,0.25,1.3,47,20,77,0.9933,3.61,0.54,10.2,1
692,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,1
3834,8.1,0.3,0.49,12.3,49,50,144,0.9971,3.09,0.57,10.2,1
2576,6,0.27,0.28,4.8,63,31,201,0.9964,3.69,0.71,10,0
1970,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,1
2323,7.6,0.22,0.34,9.7,35,26,143,0.9965,3.08,0.49,9.8,1
222,6.8,0.23,0.39,16.1,53,71,194,0.9988,3.18,0.64,10.2,1
3283,7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,1
2999,7.7,0.18,0.3,1.2,46,49,199,0.99413,3.03,0.38,9.3,0
558,7.3,0.3,0.33,2.3,43,28,125,0.99084,3.34,0.44,12.6,1
2661,6.8,0.18,0.37,1.6,55,47,154,0.9934,3.08,0.45,9.1,0
2829,7.7,0.27,0.34,1.8,28,26,168,0.9911,2.99,0.48,12.1,1
1499,7,0.22,0.26,1.1,37,20,71,0.9902,3.1,0.38,11.7,1
2998,6.5,0.24,0.32,7.6,38,48,203,0.9958,3.45,0.54,9.7,1
2475,7.7,0.43,1,19.95,32,42,164,0.99742,3.29,0.5,12,1
1204,6.4,0.28,0.27,11,42,45,148,0.99786,3.14,0.46,8.7,0
3977,7.4,0.19,0.31,14.5,45,39,193,0.9986,3.1,0.5,9.2,1
201,6,0.4,0.3,1.6,47,30,117,0.9931,3.17,0.48,10.1,1
3925,8.1,0.22,0.28,7.7,43,57,176,0.9954,3.12,0.55,10,0
3552,7,0.14,0.28,1.3,26,10,56,0.99352,3.46,0.45,9.9,0
1408,6.7,0.46,0.27,5.2,39,35,96,0.99129,3.16,0.44,12.4,1
1814,7.4,0.31,0.26,8.6,48,47,206,0.9964,3.26,0.36,9.1,0
4371,6,0.17,0.49,1,34,26,106,992,3.21,0.42,9.8,1
2397,7.1,0.35,0.27,3.1,34,28,134,0.9897,3.26,0.38,13.1,1
317,7.1,0.44,0.23,5.8,35,24,100,0.99062,3.15,0.57,13.2,1
1386,6.8,0.26,0.29,11.9,52,54,160,0.99546,3.03,0.58,10.4,1
1013,7,0.33,0.78,9.9,42,21,251,0.99435,3.01,0.55,11,1
424,7.2,0.26,0.74,13.6,0.05,56,162,998,3.03,0.44,8.8,0
4240,6.8,0.18,0.38,1.4,38,35,111,0.9918,3.32,0.59,11.2,1
1484,6.7,0.2,0.37,1.65,25,42,103,0.99022,3.11,0.45,11.4,0
4044,6.7,0.39,0.31,2.7,54,27,,0.9948,3.46,0.57,10.5,1
3511,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,1
