Metabolite	Rep	Peak1	Peak2	Peak3	Peak4	Peak5	Peak6	Peak7	Peak8	Peak9	Peak10
Lormetazepam	1	31889.79791	50802.72	43454.25004	9728.727182	8861.536375	61049.95923	0	33491.40711	2044.600563	5318.172754
Medazepam	1	247107.136	49524.50644	198295.2655	156758.7353	74065.831	471149.9082	124726.336	99576.4746	478067.562	84390.4171
Midazolam	1	2611057.09	1808816.88	2233005.39	1493552.496	1782715.424	3785999.824	692464.5879	2474889.952	3771240.48	1858908.48
Nimetazepam	1	778453.6133	538634.5	696042.27	463943.264	552684.976	1225675.52	211694.2	822044.128	189788.145	475319.5977
Nitrazepam	1	493761.32	193244.3993	351519.037	103467.3582	126187.3042	550629.1621	98455.41427	331020.912	475796.2275	37302.36539
Nordazepam	1	228744.6157	168803.025	276887.4713	67234.97837	107282.5011	328351.738	68394.74226	179385.3478	335989.6916	43790.03543
Oxazepam	1	117802.8584	73632.25073	90466.19333	30651.46179	25876.40108	130836.6081	50061.56494	76867.98974	268581.8862	197580.1875
Phenazepam	1	689614.2	901656.72	1401364.05	280879.455	344170.5225	996682.05	204634.575	487439.3233	275653.9	315626.52
Pinazepam	1	143913.66	208070.1	332608.83	51274.96279	81271.8323	209692.665	28458.7981	117652.42	49380.75468	67837.68625
Prazepam	1	663230.656	388390.5123	532476.9962	3995.467318	136109.0435	285273.652	6289.521566	0	65777.16956	348145.9344
Premazepam	1	141943.4453	47800.8308	222861.1703	0	0	106497.8087	0	22168.00024	101427.2245	61665.06018
Pyrazolam	1	2995725.844	1800364.74	2045483.076	26534.20827	893118.24	2350792.039	0	58467.5383	264977.2996	1641864.917
Quazepam	1	1824227.449	1203854.621	1261848.562	0	291647.987	1152800.782	5091.296498	0	111960.6705	1019633.946
Temazepam	1	161007.3315	34341.92126	107072.8464	75118.09511	29000.07273	169522.2551	37465.88233	16543.17086	212001.193	43375.56792
Tetrazepam	1	701351.361	422853.345	688150.1803	0	236410.848	672004.7215	0	0	405783.2155	411150.5424
Triazolam	1	1339600.334	764996.232	3328097.4	1728553.649	1014077.115	3695837.651	1902465.943	3106886.728	5845190.975	2633254.68
Alprazolam	2	283555.1985	148492.344	670122.1363	329190.1155	99885.5213	693617.2932	422724.2408	636852.392	1255748.943	447524.67
Bretazenil	2	171536.604	279890.872	18589.54131	39537.35522	45815.75091	163349.4518	11458.04726	25728.07519	187765.059	17045.70275
Bromazepam	2	237134.326	127043.244	45896.29888	0	26923.56904	60514.39768	3109.548843	69125.2569	66784.66359	31121.86373
Brotizolam	2	281428.3923	102001.6219	226771.6407	56131.50485	70764.18361	392462.336	103018.8782	257054.5478	340452.95	141979.922
Chlordiazepoxide	2	2054416.37	575264.487	997143.8967	523269.9933	577429.8192	1948075.449	649875.748	1231951.471	2373472.855	1029236.263
Cinolazepam	2	384634.445	127967.658	196230.5467	92879.11	122566.5113	399963.462	121985.701	227037.7148	463377.455	215402.521
Clonazepam	2	252622.1953	68860.10791	235131.76	118606.6789	86547.54344	120991.2649	71510.49535	341844.49	929506.855	27547.63446
Clorazepate	2	1383618.563	1029496.827	1043336.641	26696.07207	194884.3273	989456.331	6609.717691	0	170510.6567	665844.3005
Clotiazepam	2	320222.1027	186569.9232	178659.6252	6727.938935	29203.06811	263899.2836	1917.375913	8377.032202	53667.42747	110743.4086
Cloxazolam	2	267254.171	61094.69412	78959.58	22710.92166	78918.70211	143492.349	37544.71613	90626.28391	105770.9479	40076.79464
Delorazepam	2	6336585.628	2162966.688	4262007.216	1809943.191	2475511.193	4301684.902	2076031.087	4026899.147	5465720.819	1915599.157
Diazepam	2	3924751.692	2582559.443	2977401.317	2131946.778	2825847.369	5526853.448	1611292.968	3686028.876	5373114.127	3879305.78
Estazolam	2	835913.748	552591.25	611238.6667	482931.12	620564.614	1258772.766	372957.7947	708855.526	1234047.764	817612.082
Etizolam	2	1034022.642	95914.08	643712.3446	350199.36	412173.1987	784954.7076	419177.6609	919584.8868	1165414.14	363919.436
Ethyl loflazepate	2	643745.0667	458886.488	403827.8053	212086.6667	306964.9415	664877.49	234727.6907	464307.5205	683946.3645	267659.9005
Flunitrazepam	2	229655.4067	322363.6967	67715.23666	8848.574362	23764.27595	56949.95588	2509.7054	53712.14234	51766.7885	27304.93662
Flurazepam	2	123186.1333	122829.877	91948.56523	52923.38747	56898.14724	121523.4827	19246.81474	108404.52	142832.0107	71597.16582
Flutoprazepam	2	927191.12	532189.2	700288.12	0	284060.92	788987.4686	47666.72608	404125.6228	1636450.865	6751.434105
Halazepam	2	853123.3273	214607.4962	591935.094	75637.14464	87863.50086	821286.8505	319702.284	634332.474	1040020.241	466140.103
Ketazolam	2	154074.436	37045.74582	144255.6977	26956.78522	11093.65921	108259.3399	33982.69044	96177.795	152812.94	21017.58108
Loprazolam	2	193203.7933	106775.8468	140526.6701	2226.60224	33780.84028	40035.8234	30343.53137	114389.91	364826.315	0
Lorazepam	2	1684744.81	1979252.802	1360103.308	389408.7693	578090.6073	1141493.285	288856.6073	2023465.29	1315465.603	1906198.609
Lormetazepam	2	378652.524	479426.12	300337.4937	82643.468	143530.3043	267715.4325	72820.51881	426698.096	273777.6052	448018.26
Medazepam	2	364749.9	154319.6751	561067.3833	116781.7761	137622.3675	942355.2625	55285.97959	205097.865	694990.1957	31028.84436
Midazolam	2	260252.12	230491.9	177545.6776	0	15867.33397	169595.5276	0	0	72126.69844	0
Nimetazepam	2	415876.9767	344609.883	203336.8446	123665.9974	238381.7775	454448.7695	89009.91275	179005.7282	287576.0294	191575.594
Nitrazepam	2	208288	282012.46	204232.375	25791.97106	208935.76	311699.71	0	164355.8	450771.585	18871.40074
Nordazepam	2	57892.12	151858.98	175937.905	14030.645	8569.105	250891.48	9251.3	0	208305.64	16590.42
Oxazepam	2	432663.9413	12461.60073	463008.3077	52202.02167	51146.98549	631910.5388	33002.73445	103487.9623	545215.515	16710.93046
Phenazepam	2	215788.3081	226358.5846	268142.7851	48864.10484	21737.99214	231274.2266	65747.07817	390155.376	149484.6029	439242.3638
Pinazepam	2	575740.4167	322412.2133	391985.2733	0	65390.39288	191780.3508	6167.21069	1806.277441	62712.49634	144680.4465
Prazepam	2	368442.2133	87751.42157	271411.88	36120.48453	4938.700714	333644.675	99188.54667	14914.5416	493997.61	13491.76558
Premazepam	2	1954784	2153236.37	1850748.16	567699.9067	1561851.813	2472309.583	401474.385	1454228.6	3314657.613	743414.6667
Pyrazolam	2	1284083.28	1584821.97	1886416.675	658943.8	1095661.35	3249125.67	550150.81	1358418.773	2372735.46	384457.5875
Quazepam	2	0	0	4801.597208	198372.8205	164461.238	355774.995	99654.856	0	0	200495.6113
Temazepam	2	4739491.575	2223017.451	3260680.804	1650888.066	1937369.931	5337718.515	1713698.086	3441805.689	6661557.549	1996359.943
Tetrazepam	2	546476.8	527305.44	420476.825	139529.1794	375656.3501	602788.3603	23891.36254	14086.3176	919381.52	117731.0037
Triazolam	2	384416.01	467469.4667	518470.76	0	183269.52	947255.8667	80825.09	0	670739.74	196670.76
Alprazolam	3	1006307.482	468768.848	711215.246	346086.474	448520.656	1240891.545	371278.7195	824751.0932	1636316.097	554308.4388
Bretazenil	3	216897.2867	99323.904	190535.8993	87830.19201	55339.16332	297481.62	91002.99975	160645.2522	416141.318	53303.12193
Bromazepam	3	4355127.202	2515328.48	1771629.808	44941.0346	508594.1693	1555307.448	46594.9052	105695.4257	327327.646	985371.5825
Brotizolam	3	433023.339	298511.9972	366237.7441	14716.07577	117625.2567	364497.8206	15797.92971	12339.86415	98553.33995	187352.2864
Chlordiazepoxide	3	421414.4	345533.47	343587.35	231996.96	347561.28	384001.9167	90843.7906	308357	436558.565	316804.29
Cinolazepam	3	119326.86	126794.43	176513.675	0	0	0	9420.69	0	55302.98	0
Clonazepam	3	1259748.292	520752.4667	651232.462	430949.298	612836.672	1084075.196	313399.322	818647.4082	1540844.465	357696.185
Clorazepate	3	589797.2791	307031.4913	376215.6373	236978.6615	339801.1174	643961.0922	169944.608	262347.9826	666486.1565	252534.165
Clotiazepam	3	277203.0333	63967.92377	150358.534	42753.41436	172674.976	272941.54	42810.47136	205071.3595	407129.13	30840.70117
Cloxazolam	3	418157.3948	258761.8041	251798.6682	168388.0062	217128.3733	506442.6395	113083.0306	243200.0902	544121.4244	382446.0705
Delorazepam	3	1288644.35	310133.1566	574582.626	235965.6567	134275.3335	502200.1235	235142.15	444464.9475	1614550.74	53714.28508
Diazepam	3	256589.7	323406.4867	214178.8767	65837.61454	95146.09173	303112.4188	11520.44448	272725.6	98773.075	177496.3381
Estazolam	3	217474.5067	123236.1744	144402.006	61281.55247	40912.82752	99323.58018	49443.54579	168352.1584	283881.39	130865.3775
Etizolam	3	1581643.554	531018.7713	419437.92	68632.95986	445096.12	2104081.406	27044.92329	359586.565	624435.2058	529476.08
Ethyl loflazepate	3	254075.7267	196958.85	205584.1125	25132.75693	570090.0625	636659.1466	4297.479134	45897.45362	299242.5421	157124.5048
Flunitrazepam	3	136540.7451	85478.21973	118739.4778	10730.26836	38308.74813	19100.62578	56831.35667	57757.7257	124276.1198	253413.5324
Flurazepam	3	176736.79	144908.9833	269104.32	9788.193333	24733.33333	319718.4	9208.8	79919.36	284138.9333	14676.57333
Flutoprazepam	3	307191.48	134593.103	379078.295	0	163715.265	434075.3775	16844.91079	88320.0496	226566.4273	21210.29957
Halazepam	3	1185423.68	711608.23	666183.5021	0	244687.1621	715807.3758	9241.261851	46138.07623	188084.918	456344.863
Ketazolam	3	756596.6133	506625.0833	679327.11	103108.9317	315213.1825	995198.224	100007.7488	610337.024	978599.84	69052.11513
Loprazolam	3	1654747.479	927085.5033	1200352.381	24934.93499	443397.9675	1220012.933	23406.31774	71291.26116	302848.252	525554.568
Lorazepam	3	454242.033	275819.32	335266.496	2725.129507	90182.37071	311681.6595	5555.932428	9249.593326	75498.36466	173114.172
Lormetazepam	3	0	0	16544.15053	77678.55004	346380.4962	0	257773.185	1301560.518	0	479511.2658
Medazepam	3	375211.0543	372462.7497	167788.3005	24727.99849	96317.28213	197040.429	59931.77827	797244.8256	115953.6726	342760.386
Midazolam	3	22649054.13	16424472.28	2907571.8	0	0	31158571.85	0	0	32001903.2	13617922.73
Nimetazepam	3	4670068.442	3066113.86	3452531.341	2160867.709	3083835.657	5222915.549	1449420.421	6131277.121	3279029.17	3714717.127
Nitrazepam	3	1527151.674	634754.4576	520816.5558	480264.4441	527002.3624	0	227381.817	1069496.911	0	0
Nordazepam	3	693711.452	449273.994	446796.0587	273064.3663	389050.8765	704967.3	185123.664	166339.6303	398653.8042	131223.2045
Oxazepam	3	29342.51799	0	6134.295938	0	6302.115607	15805.74917	6451.043966	3358.793493	11264.31887	536317.1688
Phenazepam	3	6002.293618	1550.393838	5364.651354	965.6763524	3396.349728	9444.571919	3420.198458	4561.088892	3360.993756	348560.609
Pinazepam	3	2003999.92	1859958.1	1282495.568	126657.1235	430117.17	2782029.104	154472.6929	1225255.714	3488935.531	50089.3845
Prazepam	3	787071.77	597363.8	405007.2197	0	42260.92841	715580.1221	16970.18225	332539.0075	1383181.037	9596.805414
Premazepam	3	2515791.628	926109.4889	2271539.663	116198.8593	664097.2763	2292383.821	267469.8846	658399.5	1238257.786	15515513.65
Pyrazolam	3	1367271.752	294450.5199	368428.9	557260.0133	0	273381.5337	0	0	3225182.874	10377.19043
Quazepam	3	701920.8079	286640.0447	650693.6497	219118.9117	199128.9252	841957.8515	242559.4286	435710.7226	515373.012	4415914.317
Temazepam	3	233821.4309	0	95909.58858	57712.59606	28477.46278	0	19113.34014	23346.52818	0	994417.0512
Tetrazepam	3	727460.52	533197.0275	316816.0423	16210.36694	143637.2682	592503.0325	81638.91802	112350.5807	743208.3966	11886.90794
Triazolam	3	1053823.4	347540.4055	280720.4014	370343.175	568215.5	819973.7954	176321.88	228239.3542	3100344.93	6831.99285
Alprazolam	4	470587.936	281682.027	276292.7759	117048.0792	157142.3937	396238.205	108846.7137	242307.2275	460658.6366	327567.198
Bretazenil	4	203598.4317	0	119608.2418	53045.35075	64076.93335	68616.90725	21519.44558	17011.79058	111750.9485	100022.7981
Bromazepam	4	2811778.375	1469755.259	1833967.584	666908.91	642855.465	1408988.743	302907.36	2364702.25	1839613.797	2628883.367
Brotizolam	4	839423.125	452870.706	521994.432	196565.79	185721.291	347732.433	85687.59881	695935.6427	586485.1877	777315.11
Chlordiazepoxide	4	273785.3886	146455.5525	210709.2538	49180.50921	82203.85656	170233.9909	36730.66649	182744.337	219855.3195	232997.648
Cinolazepam	4	1475428.28	946156.4	856833.12	158991.6459	344994.6	1527204.48	55110.75155	556073.043	1979141.34	40550.45462
Clonazepam	4	573521.46	327798.75	266901.3218	64763.65403	140648.9878	314039.1697	128072.3735	261035.8696	680900.165	31692.52949
Clorazepate	4	3135717.706	213633.5736	343129.1475	1677150.911	1610312.711	1228830.712	857043.9836	777978.3734	0	62424.22133
Clotiazepam	4	1125778.05	434797.2019	370042.7891	494875.7568	432423.1293	438763.0299	230030.8204	271066.4373	1511111.49	39597.44879
Cloxazolam	4	285955.9121	248796.9452	198350.3079	38269.20516	69736.90567	194589.5478	65457.50227	57784.92509	154626.9813	0
Delorazepam	4	660655.5618	392924.9829	502957.5659	120815.838	186875.1187	316999.4924	71564.40932	592831.6272	137262.9123	710022.005
Diazepam	4	201436.6839	120331.0005	145609.1098	20371.78791	44927.74593	18444.42147	3015.812238	184381.1392	118349.8462	222810.423
Estazolam	4	2124545.7	641545.3176	531376.9149	814268.8	305248.9825	1153775.543	454666.6367	540694.0516	9575043.903	121413.0157
Etizolam	4	0	0	0	148715.072	187123.3275	221735.0371	0	82387.22295	425019.4798	118223.7034
Ethyl loflazepate	4	834924.45	186167.9942	202012.1482	258627.04	187271.84	482458.9466	60189.57582	233305.3666	3769557.367	63681.43515
Flunitrazepam	4	677690.027	530518.231	425476.2462	133853.3801	238313.9616	467412.0911	16123.35599	256898.7631	1588734.999	83984.66346
Flurazepam	4	427627.05	137266.342	170568.5688	269661.936	259194.8087	385676.5932	220012.0093	158652.7964	881725.4735	127529.2477
Flutoprazepam	4	330055.1058	215045.3108	1816207.905	460234.6	754070.36	2564464.496	1264121.364	764115.3667	1366179.024	297304.932
Halazepam	4	154761.6791	99954.06962	601678.1459	142584.8691	200204.19	957614.834	335173.3612	125397.9376	428500.8182	115140.4375
Ketazolam	4	101491.631	21000.96275	90356.25094	4138.517968	68232.74252	361860.238	16215.27894	104964.5655	257464.4539	0
Loprazolam	4	644806.396	296188.8323	366487.8526	166519.2267	193674.4461	488292.6956	165862.3485	279262.2803	705800.6775	305296.132
Lorazepam	4	582472.7833	564271.02	107583.097	2933.647997	410123.0825	598717.54	0	0	552202.35	0
Lormetazepam	4	467457.8833	439854.93	137184.5477	0	289234.86	652872.34	1538.618758	18808.57356	609219	0
Medazepam	4	1663683.687	522632.0353	863051.06	1123855.319	1184704.491	1701268.129	614340.344	717343.8363	2865827.008	616208.899
Midazolam	4	105484.0238	291096.99	101863.612	0	222385.06	472215.12	1351.570988	17633.03771	451250.1	0
Nimetazepam	4	668437.404	214741.9329	342161.74	452060.4967	468770.1375	678268.767	238375.5037	246522.9628	1090517.033	224351.703
Nitrazepam	4	56303.87241	0	203094.52	0	0	94702.56837	0	0	0	165321.046
Nordazepam	4	0	150953.1507	196315.8222	35509.90456	269329.347	307651.8793	31685.91072	310349.648	290124.216	244562.175
Oxazepam	4	426220.668	30765.18737	157209.8667	52677.32933	243268.893	679042.3685	8488.495777	336985.8	533609.3868	47813.5191
Phenazepam	4	160356.2459	0	0	0	9651.0518	289467.9755	19795.30636	77537.17607	297422.2023	46097.47225
Pinazepam	4	0	0	96781.16409	18546.27453	288390.9175	741687.44	9111.036568	12385.10982	229413.1401	19755.13644
Prazepam	4	24281.10576	242616.96	104965.7056	9653.880259	270339	417041.08	0	209867.625	386066.25	24548.52716
Premazepam	4	4510605.6	2070786.043	12868207.07	2327014.542	3860474.087	12371245.43	157427.505	5848891.545	12164705.06	84081.20181
Pyrazolam	4	1515294.6	708244	4295809.536	731510.3125	1358571.06	4532067.7	779658.255	3312367.53	4404853.161	10678.97221
Quazepam	4	5230004.13	1773380.867	1115713.558	330575.5691	1031461.107	3042211.295	155900.0094	588275.1323	2097462.879	482119.5095
Temazepam	4	11450455.25	6209878.59	3823208.91	2680989.56	5919249.745	9522697.92	1117842.3	5044340.813	8257906.35	3197321.85
Tetrazepam	4	3486755.4	2072690.46	1307179.5	986760.63	2076809.688	3317669.18	424649.1275	1780490.25	2935782.45	1179737.1
Triazolam	4	1757671.74	638674	198306	47003.04288	477199.5667	1072250.224	14952.81083	8187.312351	743846.6038	45804.98527
Alprazolam	5	993642.4333	567109.26	358585.59	271300.84	412692.7667	824393.24	45826.7038	476961.0667	789020.4	240631.4067
Bretazenil	5	815361.8933	266756.6628	343408.9171	590523.3968	466328.2033	913373.434	357837.3073	303133.8019	2094346.912	217592.3601
Bromazepam	5	311117.0437	112844.0976	160656.8791	222476.1365	172601.7793	322650.4269	164553.1167	140400.2289	822651.928	94108.80806
Brotizolam	5	593286.75	284268.4257	662309.628	0	238347.1328	1042480.643	0	359352.0455	558229.8626	11034.21385
Chlordiazepoxide	5	379506.6116	288086.1524	172951.3125	47600.04573	206995.6177	162526.8275	2347.013476	170954.1487	47974.55238	938009.73
Cinolazepam	5	89827.74286	0	0	24520.22526	52667.3075	189601.4864	4149.262824	60197.0744	384832.4305	191827.9936
Clonazepam	5	1187632.824	407882.209	641138.6601	219731.9791	621131.588	306095.9391	394926.2029	944118.2755	0	291013.5477
Clorazepate	5	17321479.93	9203811.713	12390779.13	5967668.84	8638964.788	21090799.96	6067461.776	14246909.43	23474338.5	8727881.387
Clotiazepam	5	5627236.847	3183796.268	3851861.622	2260324.472	3267614.036	8146897.133	2321995.311	5244718.115	7628093.351	3074229.119
Cloxazolam	5	1662597.557	958717.76	1142659.08	599543.415	942718.2912	2391556.733	379435.8472	1424566.235	2260178.974	896555.4
Delorazepam	5	6268620.525	2850089.684	4435545.535	2045922.541	2595671.326	6805381.534	1813623.552	4059577.116	6461273	13866264.67
Diazepam	5	272042.5323	168746.363	308301.1986	85042.48708	34192.75005	0	145035.3233	56700.17293	0	3282671.816
Estazolam	5	0	0	0	334863.645	450735.3533	1584286.931	7766.554738	513753.8047	1330772.184	1899696.843
Etizolam	5	0	0	0	11456.86487	19778.84431	154758.7294	10625.56644	22023.36699	68936.26147	676700.775
Ethyl loflazepate	5	1194469.033	0	300533.7	82941.74667	193012.4215	791144.0003	26239.35725	181479.219	672788.2565	794888.1675
Flunitrazepam	5	582380.28	195418.44	0	36846.53884	159748.6148	344912.6269	14655.39341	47542.18602	339285.7324	298282.8535
Flurazepam	5	14058.19296	0	0	0	0	3615811.341	0	1174502.45	2316821.09	17376.83679
Flutoprazepam	5	11375.87249	0	2942.436471	235712.4664	506039.3763	4482771.58	1160257.28	524844.4082	3340255.765	67101.98612
Halazepam	5	3060.214721	4948.256335	1971.432436	8061.543915	252264.3529	2085118.7	217221.7661	59180.61134	1371454.258	83671.24648
Ketazolam	5	317591.7937	614916.02	586393.28	3421286.146	0	0	887189.4818	0	0	0
Loprazolam	5	3792969.24	0	0	5839058.589	6255342.077	18982593	2181428.34	18589341.62	18995345.18	24633.75107
Lorazepam	5	1589901.76	256344.2	219004.896	2327469.606	2807545.1	8292879	866063.7267	8222379.33	8332957.798	12181.45439
Lormetazepam	5	482989.12	0	2806.66695	73958.39347	583379.9268	1610052.7	140311.4137	1283845.482	1539419.051	5017.940334
Medazepam	5	796.9758742	0	0	0	23541.76338	3634394.242	3642.592172	255839.3299	4536109.392	0
Midazolam	5	0	0	0	490516.4133	701620.78	1261647.1	530851.866	1022634.248	1506775.212	778751.992
Nimetazepam	5	2013.197466	0	0	171799.8393	370914.4416	807708.7182	203816.2646	380943.0184	507612.1375	344768.98
Nitrazepam	5	4440.408599	0	0	332906.7862	801481.4102	659030.0975	661764.3865	1054808.105	871506.0112	247736.0401
Nordazepam	5	0	0	0	16549.62324	15325.33964	54489.5971	8927.811186	20479.28258	87303.63026	721790.24
